"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","INDICATIVE CLOSE 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE 
 (₹ Crores)","52W H 
","52W L 
","30 D   %CHNG 
","365 D % CHNG 
"
"NIFTY 50","26,237.45","26,280.75","26,172.40","26,215.55","26,249.65","-","34.10","0.13","8,67,22,955","8,698.83","26,310.45","21,743.65","0.96","8.35"
"ADANIENT","2,267.10","2,331.00","2,247.80","2,255.00","2,321.10","-","66.10","2.93","19,49,772","447.31","2,616.50","1,967.52","-9.54","4.86"
"M&M","3,692.00","3,768.90","3,690.10","3,681.20","3,760.20","-","79.00","2.15","17,71,552","663.97","3,781.00","2,425.00","1.93","23.32"
"ADANIPORTS","1,510.00","1,529.50","1,503.10","1,509.10","1,528.60","-","19.50","1.29","12,51,375","190.10","1,529.50","1,010.75","6.23","33.68"
"KOTAKBANK","2,119.00","2,139.80","2,102.20","2,110.20","2,136.20","-","26.00","1.23","16,90,554","358.86","2,301.90","1,723.75","-1.79","18.31"
"EICHERMOT","6,999.00","7,065.00","6,956.00","6,999.00","7,057.00","-","58.00","0.83","1,83,158","128.63","7,284.50","4,646.00","1.34","41.92"
"SBIN","976.80","982.85","973.05","972.85","980.55","-","7.70","0.79","31,38,601","306.77","999.00","680.00","5.43","15.90"
"TECHM","1,515.80","1,525.30","1,503.70","1,509.80","1,520.50","-","10.70","0.71","5,23,103","79.43","1,807.70","1,209.40","3.21","-13.50"
"HINDALCO","812.20","815.00","808.05","807.55","812.60","-","5.05","0.63","17,28,257","140.22","864.00","546.45","-3.96","21.24"
"SUNPHARMA","1,810.30","1,823.00","1,807.50","1,810.30","1,821.40","-","11.10","0.61","5,56,895","101.22","1,910.00","1,548.00","6.89","2.76"
"RELIANCE","1,568.00","1,581.30","1,563.00","1,563.40","1,572.40","-","9.00","0.58","40,63,940","640.05","1,581.30","1,114.85","5.34","20.66"
"MAXHEALTH","1,156.10","1,170.00","1,153.10","1,161.80","1,167.00","-","5.20","0.45","5,20,191","60.46","1,314.30","940.05","-2.07","17.86"
"HINDUNILVR","2,450.00","2,470.00","2,447.20","2,451.70","2,461.40","-","9.70","0.40","4,63,651","114.13","2,750.00","2,136.00","-2.39","-1.11"
"APOLLOHOSP","7,330.00","7,359.00","7,300.00","7,322.50","7,349.00","-","26.50","0.36","1,15,469","84.57","8,099.50","6,001.00","-6.67","3.48"
"TITAN","3,906.20","3,934.90","3,903.30","3,903.30","3,916.00","-","12.70","0.33","2,50,440","98.17","3,956.00","2,925.00","4.37","17.30"
"JSWSTEEL","1,160.00","1,167.50","1,153.30","1,160.60","1,164.10","-","3.50","0.30","6,70,510","77.93","1,223.90","880.00","0.87","20.44"
"BAJFINANCE","1,038.00","1,043.50","1,031.00","1,033.80","1,036.70","-","2.90","0.28","25,58,750","265.56","1,102.50","649.10","-4.67","-84.38"
"WIPRO","251.00","251.99","249.32","249.56","250.04","-","0.48","0.19","34,89,540","87.34","324.60","228.00","2.32","-57.63"
"TATASTEEL","168.13","169.00","167.29","168.13","168.44","-","0.31","0.18","75,03,279","126.11","186.94","122.62","-4.83","16.38"
"JIOFIN","306.15","308.00","305.70","306.45","306.80","-","0.35","0.11","24,33,838","74.66","347.35","198.65","0.29","-6.01"
"HCLTECH","1,629.00","1,636.90","1,621.10","1,629.00","1,630.30","-","1.30","0.08","6,33,841","103.27","2,012.20","1,302.75","6.23","-14.24"
"MARUTI","15,906.00","16,049.00","15,888.00","15,903.00","15,914.00","-","11.00","0.07","1,33,336","212.81","16,660.00","10,725.00","-2.96","45.31"
"LT","4,085.00","4,104.20","4,068.20","4,081.30","4,084.00","-","2.70","0.07","5,11,411","209.22","4,140.00","2,965.30","4.01","10.23"
"CIPLA","1,525.20","1,528.90","1,520.60","1,525.20","1,525.80","-","0.60","0.04","3,19,964","48.79","1,673.00","1,335.00","-3.71","2.18"
"HDFCBANK","1,007.00","1,012.05","1,004.20","1,009.50","1,009.85","-","0.35","0.03","63,36,627","639.35","1,020.50","812.15","0.65","-43.46"
"INDIGO","5,922.00","5,936.50","5,885.00","5,919.00","5,921.00","-","2.00","0.03","1,24,405","73.52","6,232.50","3,945.00","1.44","39.94"
"ETERNAL","303.00","304.80","301.50","302.75","302.70","-","-0.05","-0.02","83,31,186","252.52","368.45","194.80","-9.27","-"
"DRREDDY","1,250.00","1,253.50","1,245.00","1,249.30","1,248.90","-","-0.40","-0.03","1,81,834","22.69","1,405.90","1,020.00","-2.73","3.36"
"ASIANPAINT","2,880.00","2,880.00","2,855.80","2,879.10","2,877.30","-","-1.80","-0.06","2,35,300","67.57","2,926.90","2,124.75","14.30","14.93"
"ITC","404.30","404.90","402.50","404.30","404.00","-","-0.30","-0.07","20,69,686","83.48","491.00","390.15","-3.89","-15.24"
"TCS","3,140.00","3,147.30","3,125.00","3,136.60","3,133.70","-","-2.90","-0.09","6,78,811","212.91","4,494.90","2,866.60","1.68","-27.94"
"NTPC","328.00","328.15","324.25","327.35","327.05","-","-0.30","-0.09","27,03,869","88.17","375.15","292.80","-4.21","-9.48"
"BEL","414.00","415.25","411.70","413.05","412.65","-","-0.40","-0.10","21,87,008","90.43","436.00","240.25","-0.51","38.65"
"BAJAJ-AUTO","9,031.00","9,106.00","8,922.00","9,022.50","9,009.50","-","-13.00","-0.14","2,14,313","192.46","9,490.00","7,089.35","-0.80","-1.26"
"GRASIM","2,747.20","2,748.00","2,727.50","2,740.00","2,736.30","-","-3.70","-0.14","97,859","26.80","2,977.80","2,276.95","-6.29","4.69"
"COALINDIA","379.00","379.20","376.00","378.05","377.35","-","-0.70","-0.19","22,72,889","85.81","425.90","349.25","-4.70","-8.13"
"ONGC","245.00","245.35","242.85","244.00","243.50","-","-0.50","-0.20","15,36,176","37.47","273.50","205.00","-3.66","-4.03"
"TMPV","358.00","359.75","355.10","357.80","357.05","-","-0.75","-0.21","66,15,636","236.22","820.35","352.00","-12.74","-"
"NESTLEIND","1,266.30","1,269.70","1,262.00","1,266.40","1,263.70","-","-2.70","-0.21","2,01,019","25.43","1,311.60","1,055.00","-1.29","-44.09"
"TRENT","4,276.10","4,283.20","4,250.00","4,266.10","4,255.00","-","-11.10","-0.26","1,85,323","79.06","7,493.05","4,235.80","-11.10","-36.03"
"ICICIBANK","1,392.00","1,398.50","1,388.00","1,392.20","1,388.40","-","-3.80","-0.27","32,95,788","459.13","1,500.00","1,186.00","1.06","6.69"
"INFY","1,565.00","1,568.40","1,557.00","1,566.40","1,562.10","-","-4.30","-0.27","11,65,723","182.06","2,006.45","1,307.00","4.11","-18.59"
"AXISBANK","1,287.30","1,289.00","1,277.10","1,287.30","1,283.60","-","-3.70","-0.29","10,87,047","139.24","1,304.00","933.50","2.65","12.45"
"BAJAJFINSV","2,110.00","2,113.00","2,093.40","2,103.20","2,096.40","-","-6.80","-0.32","2,51,318","52.80","2,195.00","1,551.65","-3.09","31.91"
"ULTRACEMCO","11,620.00","11,640.00","11,571.00","11,617.00","11,573.00","-","-44.00","-0.38","60,358","70.03","13,097.00","10,047.85","-3.31","4.46"
"TATACONSUM","1,177.10","1,182.10","1,172.20","1,177.70","1,172.50","-","-5.20","-0.44","2,27,907","26.81","1,202.80","882.90","0.67","22.23"
"BHARTIARTL","2,118.00","2,129.50","2,102.50","2,115.60","2,104.40","-","-11.20","-0.53","21,41,561","451.79","2,174.50","1,551.15","1.71","34.13"
"POWERGRID","273.80","274.35","270.60","273.70","271.40","-","-2.30","-0.84","42,45,817","115.34","341.75","247.30","-5.96","-19.21"
"SBILIFE","2,011.00","2,011.10","1,980.00","2,004.50","1,982.50","-","-22.00","-1.10","4,28,153","85.24","2,086.60","1,372.55","5.33","33.03"
"SHRIRAMFIN","870.05","872.00","854.50","867.65","857.25","-","-10.40","-1.20","23,82,900","205.56","872.00","493.35","20.57","-71.52"
"HDFCLIFE","780.40","780.40","766.30","777.80","767.00","-","-10.80","-1.39","10,03,015","77.36","820.75","584.30","5.50","13.98"
